"key","de","en",
"Analysis_Name","Analysis","Analysis",
"Analysis_Description","Zeigt Informationen über Gegner und Gegenstände an","Shows informations about enemies and objects",
"Blind_Name","Blind","Blind",
"Blind_Description","","",
"Death Sentence_Name","Todesurteil","Death Sentence",
"Death Sentence_Description","Ein tödlicher Fluch","A deadly curse",
"Fire_Name","Feuer","Fire",
"Fire_Description","Schaden über Zeit, der auf andere überspringen kann","Damage over time, which can affect others",
"Ice_Name","Eis","Ice",
"Ice_Description","Friert ein, sodass keine Aktionen möglich sind","Stuns and freezes, no actions are possible",
"Magika_Name","Magika","Magika",
"Magika_Description","Stellt schrittweise Mana her","Restores mana slowly",
"Poison_Name","Gift","Poison",
"Poison_Description","Schaden über Zeit","Damage over Time",
"Regen_Name","Regena","Regen",
"Regen_Description","Heilung über Zeit","Heal over time",
"Ressurrection_Name","Auferstehung","Ressurrection",
"Ressurrection_Description","Wird nach dem Tod aktiv und stellt alles wieder her","Active on death",
"Time Stasis_Name","Temporale Stase","Temporal Stasis",
"Time Stasis_Description","Zeit wird stark verlangsamt","Time will heavily slowed down",
